infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
lancer,to throw,False,lance,lances,lance,lançons,lancez,lancent,lançais,lançais,lançait,lancions,lanciez,lançaient,lançai,lanças,lança,lançâmes,lançâtes,lancèrent,lancerai,lanceras,lancera,lancerons,lancerez,lanceront,lancerais,lancerais,lancerait,lancerions,lanceriez,lanceraient,lance,lances,lance,lancions,lanciez,lancent,lançasse,lançasses,lançât,lançassions,lançassiez,lançassent,lance,lançons,lancez,ai lancé,as lancé,a lancé,avons lancé,avez lancé,ont lancé,avais lancé,avais lancé,avait lancé,avions lancé,aviez lancé,avaient lancé,aurai lancé,auras lancé,aura lancé,aurons lancé,aurez lancé,auront lancé,aurais lancé,aurais lancé,aurait lancé,aurions lancé,auriez lancé,auraient lancé,aie lancé,aies lancé,ait lancé,ayons lancé,ayez lancé,aient lancé,eusse lancé,eusses lancé,eût lancé,eussions lancé,eussiez lancé,eussent lancé,eus lancé,eus lancé,eut lancé,eûmes lancé,eûtes lancé,eurent lancé,aie lancé,ayons lancé,ayez lancé,lançant
laver,to wash,False,lave,laves,lave,lavons,lavez,lavent,lavais,lavais,lavait,lavions,laviez,lavaient,lavai,lavas,lava,lavâmes,lavâtes,lavèrent,laverai,laveras,lavera,laverons,laverez,laveront,laverais,laverais,laverait,laverions,laveriez,laveraient,lave,laves,lave,lavions,laviez,lavent,lavasse,lavasses,lavât,lavassions,lavassiez,lavassent,lave,lavons,lavez,ai lavé,as lavé,a lavé,avons lavé,avez lavé,ont lavé,avais lavé,avais lavé,avait lavé,avions lavé,aviez lavé,avaient lavé,aurai lavé,auras lavé,aura lavé,aurons lavé,aurez lavé,auront lavé,aurais lavé,aurais lavé,aurait lavé,aurions lavé,auriez lavé,auraient lavé,aie lavé,aies lavé,ait lavé,ayons lavé,ayez lavé,aient lavé,eusse lavé,eusses lavé,eût lavé,eussions lavé,eussiez lavé,eussent lavé,eus lavé,eus lavé,eut lavé,eûmes lavé,eûtes lavé,eurent lavé,aie lavé,ayons lavé,ayez lavé,lavant
louer,to rent,False,loue,loues,loue,louons,louez,louent,louais,louais,louait,louions,louiez,louaient,louai,louas,loua,louâmes,louâtes,louèrent,louerai,loueras,louera,louerons,louerez,loueront,louerais,louerais,louerait,louerions,loueriez,loueraient,loue,loues,loue,louions,louiez,louent,louasse,louasses,louât,louassions,louassiez,louassent,loue,louons,louez,ai loué,as loué,a loué,avons loué,avez loué,ont loué,avais loué,avais loué,avait loué,avions loué,aviez loué,avaient loué,aurai loué,auras loué,aura loué,aurons loué,aurez loué,auront loué,aurais loué,aurais loué,aurait loué,aurions loué,auriez loué,auraient loué,aie loué,aies loué,ait loué,ayons loué,ayez loué,aient loué,eusse loué,eusses loué,eût loué,eussions loué,eussiez loué,eussent loué,eus loué,eus loué,eut loué,eûmes loué,eûtes loué,eurent loué,aie loué,ayons loué,ayez loué,louant
mentir,to lie,True,mens,mens,ment,mentons,mentez,mentent,mentais,mentais,mentait,mentions,mentiez,mentaient,mentis,mentis,mentit,mentîmes,mentîtes,mentirent,mentirai,mentiras,mentira,mentirons,mentirez,mentiront,mentirais,mentirais,mentirait,mentirions,mentiriez,mentiraient,mente,mentes,mente,mentions,mentiez,mentent,mentisse,mentisses,mentît,mentissions,mentissiez,mentissent,mens,mentons,mentez,ai menti,as menti,a menti,avons menti,avez menti,ont menti,avais menti,avais menti,avait menti,avions menti,aviez menti,avaient menti,aurai menti,auras menti,aura menti,aurons menti,aurez menti,auront menti,aurais menti,aurais menti,aurait menti,aurions menti,auriez menti,auraient menti,aie menti,aies menti,ait menti,ayons menti,ayez menti,aient menti,eusse menti,eusses menti,eût menti,eussions menti,eussiez menti,eussent menti,eus menti,eus menti,eut menti,eûmes menti,eûtes menti,eurent menti,aie menti,ayons menti,ayez menti,mentant
mériter,to merit,False,mérite,mérites,mérite,méritons,méritez,méritent,méritais,méritais,méritait,méritions,méritiez,méritaient,méritai,méritas,mérita,méritâmes,méritâtes,méritèrent,mériterai,mériteras,méritera,mériterons,mériterez,mériteront,mériterais,mériterais,mériterait,mériterions,mériteriez,mériteraient,mérite,mérites,mérite,méritions,méritiez,méritent,méritasse,méritasses,méritât,méritassions,méritassiez,méritassent,mérite,méritons,méritez,ai mérité,as mérité,a mérité,avons mérité,avez mérité,ont mérité,avais mérité,avais mérité,avait mérité,avions mérité,aviez mérité,avaient mérité,aurai mérité,auras mérité,aura mérité,aurons mérité,aurez mérité,auront mérité,aurais mérité,aurais mérité,aurait mérité,aurions mérité,auriez mérité,auraient mérité,aie mérité,aies mérité,ait mérité,ayons mérité,ayez mérité,aient mérité,eusse mérité,eusses mérité,eût mérité,eussions mérité,eussiez mérité,eussent mérité,eus mérité,eus mérité,eut mérité,eûmes mérité,eûtes mérité,eurent mérité,aie mérité,ayons mérité,ayez mérité,méritant
mener,to lead,False,mène,mènes,mène,menons,menez,mènent,menais,menais,menait,menions,meniez,menaient,menai,menas,mena,menâmes,menâtes,menèrent,mènerai,mèneras,mènera,mènerons,mènerez,mèneront,mènerais,mènerais,mènerait,mènerions,mèneriez,mèneraient,mène,mènes,mène,menions,meniez,mènent,menasse,menasses,menât,menassions,menassiez,menassent,mène,menons,menez,ai mené,as mené,a mené,avons mené,avez mené,ont mené,avais mené,avais mené,avait mené,avions mené,aviez mené,avaient mené,aurai mené,auras mené,aura mené,aurons mené,aurez mené,auront mené,aurais mené,aurais mené,aurait mené,aurions mené,auriez mené,auraient mené,aie mené,aies mené,ait mené,ayons mené,ayez mené,aient mené,eusse mené,eusses mené,eût mené,eussions mené,eussiez mené,eussent mené,eus mené,eus mené,eut mené,eûmes mené,eûtes mené,eurent mené,aie mené,ayons mené,ayez mené,menant
maintenir,to maintain,True,maintiens,maintiens,maintient,maintenons,maintenez,maintiennent,maintenais,maintenais,maintenait,maintenions,mainteniez,maintenaient,maintins,maintins,maintint,maintînmes,maintîntes,maintinrent,maintiendrai,maintiendras,maintiendra,maintiendrons,maintiendrez,maintiendront,maintiendrais,maintiendrais,maintiendrait,maintiendrions,maintiendriez,maintiendraient,maintienne,maintiennes,maintienne,maintenions,mainteniez,maintiennent,maintinsse,maintinsses,maintînt,maintinssions,maintinssiez,maintinssent,maintiens,maintenons,maintenez,ai maintenu,as maintenu,a maintenu,avons maintenu,avez maintenu,ont maintenu,avais maintenu,avais maintenu,avait maintenu,avions maintenu,aviez maintenu,avaient maintenu,aurai maintenu,auras maintenu,aura maintenu,aurons maintenu,aurez maintenu,auront maintenu,aurais maintenu,aurais maintenu,aurait maintenu,aurions maintenu,auriez maintenu,auraient maintenu,aie maintenu,aies maintenu,ait maintenu,ayons maintenu,ayez maintenu,aient maintenu,eusse maintenu,eusses maintenu,eût maintenu,eussions maintenu,eussiez maintenu,eussent maintenu,eus maintenu,eus maintenu,eut maintenu,eûmes maintenu,eûtes maintenu,eurent maintenu,aie maintenu,ayons maintenu,ayez maintenu,maintenant
mépriser,to scorn,False,méprise,méprises,méprise,méprisons,méprisez,méprisent,méprisais,méprisais,méprisait,méprisions,méprisiez,méprisaient,méprisai,méprisas,méprisa,méprisâmes,méprisâtes,méprisèrent,mépriserai,mépriseras,méprisera,mépriserons,mépriserez,mépriseront,mépriserais,mépriserais,mépriserait,mépriserions,mépriseriez,mépriseraient,méprise,méprises,méprise,méprisions,méprisiez,méprisent,méprisasse,méprisasses,méprisât,méprisassions,méprisassiez,méprisassent,méprise,méprisons,méprisez,ai méprisé,as méprisé,a méprisé,avons méprisé,avez méprisé,ont méprisé,avais méprisé,avais méprisé,avait méprisé,avions méprisé,aviez méprisé,avaient méprisé,aurai méprisé,auras méprisé,aura méprisé,aurons méprisé,aurez méprisé,auront méprisé,aurais méprisé,aurais méprisé,aurait méprisé,aurions méprisé,auriez méprisé,auraient méprisé,aie méprisé,aies méprisé,ait méprisé,ayons méprisé,ayez méprisé,aient méprisé,eusse méprisé,eusses méprisé,eût méprisé,eussions méprisé,eussiez méprisé,eussent méprisé,eus méprisé,eus méprisé,eut méprisé,eûmes méprisé,eûtes méprisé,eurent méprisé,aie méprisé,ayons méprisé,ayez méprisé,méprisant
marcher,"to walk, to function",False,marche,marches,marche,marchons,marchez,marchent,marchais,marchais,marchait,marchions,marchiez,marchaient,marchai,marchas,marcha,marchâmes,marchâtes,marchèrent,marcherai,marcheras,marchera,marcherons,marcherez,marcheront,marcherais,marcherais,marcherait,marcherions,marcheriez,marcheraient,marche,marches,marche,marchions,marchiez,marchent,marchasse,marchasses,marchât,marchassions,marchassiez,marchassent,marche,marchons,marchez,ai marché,as marché,a marché,avons marché,avez marché,ont marché,avais marché,avais marché,avait marché,avions marché,aviez marché,avaient marché,aurai marché,auras marché,aura marché,aurons marché,aurez marché,auront marché,aurais marché,aurais marché,aurait marché,aurions marché,auriez marché,auraient marché,aie marché,aies marché,ait marché,ayons marché,ayez marché,aient marché,eusse marché,eusses marché,eût marché,eussions marché,eussiez marché,eussent marché,eus marché,eus marché,eut marché,eûmes marché,eûtes marché,eurent marché,aie marché,ayons marché,ayez marché,marchant
menacer,to threaten,False,menace,menaces,menace,menaçons,menacez,menacent,menaçais,menaçais,menaçait,menacions,menaciez,menaçaient,menaçai,menaças,menaça,menaçâmes,menaçâtes,menacèrent,menacerai,menaceras,menacera,menacerons,menacerez,menaceront,menacerais,menacerais,menacerait,menacerions,menaceriez,menaceraient,menace,menaces,menace,menacions,menaciez,menacent,menaçasse,menaçasses,menaçât,menaçassions,menaçassiez,menaçassent,menace,menaçons,menacez,ai menacé,as menacé,a menacé,avons menacé,avez menacé,ont menacé,avais menacé,avais menacé,avait menacé,avions menacé,aviez menacé,avaient menacé,aurai menacé,auras menacé,aura menacé,aurons menacé,aurez menacé,auront menacé,aurais menacé,aurais menacé,aurait menacé,aurions menacé,auriez menacé,auraient menacé,aie menacé,aies menacé,ait menacé,ayons menacé,ayez menacé,aient menacé,eusse menacé,eusses menacé,eût menacé,eussions menacé,eussiez menacé,eussent menacé,eus menacé,eus menacé,eut menacé,eûmes menacé,eûtes menacé,eurent menacé,aie menacé,ayons menacé,ayez menacé,menaçant
méprendre,to mistake,True,méprends,méprends,méprend,méprenons,méprenez,méprennent,méprenais,méprenais,méprenait,méprenions,mépreniez,méprenaient,mépris,mépris,méprit,méprîmes,méprîtes,méprirent,méprendrai,méprendras,méprendra,méprendrons,méprendrez,méprendront,méprendrais,méprendrais,méprendrait,méprendrions,méprendriez,méprendraient,méprenne,méprennes,méprenne,méprenions,mépreniez,méprennent,méprisse,méprisses,méprît,méprissions,méprissiez,méprissent,méprends,méprenons,méprenez,ai mépris,as mépris,a mépris,avons mépris,avez mépris,ont mépris,avais mépris,avais mépris,avait mépris,avions mépris,aviez mépris,avaient mépris,aurai mépris,auras mépris,aura mépris,aurons mépris,aurez mépris,auront mépris,aurais mépris,aurais mépris,aurait mépris,aurions mépris,auriez mépris,auraient mépris,aie mépris,aies mépris,ait mépris,ayons mépris,ayez mépris,aient mépris,eusse mépris,eusses mépris,eût mépris,eussions mépris,eussiez mépris,eussent mépris,eus mépris,eus mépris,eut mépris,eûmes mépris,eûtes mépris,eurent mépris,aie mépris,ayons mépris,ayez mépris,méprenant
loger,to lodge,False,loge,loges,loge,logeons,logez,logent,logeais,logeais,logeait,logions,logiez,logeaient,logeai,logeas,logea,logeâmes,logeâtes,logèrent,logerai,logeras,logera,logerons,logerez,logeront,logerais,logerais,logerait,logerions,logeriez,logeraient,loge,loges,loge,logions,logiez,logent,logeasse,logeasses,logeât,logeassions,logeassiez,logeassent,loge,logeons,logez,ai logé,as logé,a logé,avons logé,avez logé,ont logé,avais logé,avais logé,avait logé,avions logé,aviez logé,avaient logé,aurai logé,auras logé,aura logé,aurons logé,aurez logé,auront logé,aurais logé,aurais logé,aurait logé,aurions logé,auriez logé,auraient logé,aie logé,aies logé,ait logé,ayons logé,ayez logé,aient logé,eusse logé,eusses logé,eût logé,eussions logé,eussiez logé,eussent logé,eus logé,eus logé,eut logé,eûmes logé,eûtes logé,eurent logé,aie logé,ayons logé,ayez logé,logeant
luire,to shine,True,luis,luis,luit,luisons,luisez,luisent,luisais,luisais,luisait,luisions,luisiez,luisaient,luis,luis,luit,luîmes,luîtes,luirent,luirai,luiras,luira,luirons,luirez,luiront,luirais,luirais,luirait,luirions,luiriez,luiraient,luise,luises,luise,luisions,luisiez,luisent,luisisse,luisisses,luisisse,luisissions,luisissiez,luisissent,luis,luisons,luisez,ai lui,as lui,a lui,avons lui,avez lui,ont lui,avais lui,avais lui,avait lui,avions lui,aviez lui,avaient lui,aurai lui,auras lui,aura lui,aurons lui,aurez lui,auront lui,aurais lui,aurais lui,aurait lui,aurions lui,auriez lui,auraient lui,aie lui,aies lui,ait lui,ayons lui,ayez lui,aient lui,eusse lui,eusses lui,eût lui,eussions lui,eussiez lui,eussent lui,eus lui,eus lui,eut lui,eûmes lui,eûtes lui,eurent lui,aie lui,ayons lui,ayez lui,luisant
nier,to deny,False,nie,nies,nie,nions,niez,nient,niais,niais,niait,niions,niiez,niaient,niai,nias,nia,niâmes,niâtes,nièrent,nierai,nieras,niera,nierons,nierez,nieront,nierais,nierais,nierait,nierions,nieriez,nieraient,nie,nies,nie,niions,niiez,nient,niasse,niasses,niât,niassions,niassiez,niassent,nie,nions,niez,ai nié,as nié,a nié,avons nié,avez nié,ont nié,avais nié,avais nié,avait nié,avions nié,aviez nié,avaient nié,aurai nié,auras nié,aura nié,aurons nié,aurez nié,auront nié,aurais nié,aurais nié,aurait nié,aurions nié,auriez nié,auraient nié,aie nié,aies nié,ait nié,ayons nié,ayez nié,aient nié,eusse nié,eusses nié,eût nié,eussions nié,eussiez nié,eussent nié,eus nié,eus nié,eut nié,eûmes nié,eûtes nié,eurent nié,aie nié,ayons nié,ayez nié,niant
mettre,to put,True,mets,mets,met,mettons,mettez,mettent,mettais,mettais,mettait,mettions,mettiez,mettaient,mis,mis,mit,mîmes,mîtes,mirent,mettrai,mettras,mettra,mettrons,mettrez,mettront,mettrais,mettrais,mettrait,mettrions,mettriez,mettraient,mette,mettes,mette,mettions,mettiez,mettent,misse,misses,mît,missions,missiez,missent,mets,mettons,mettez,ai mis,as mis,a mis,avons mis,avez mis,ont mis,avais mis,avais mis,avait mis,avions mis,aviez mis,avaient mis,aurai mis,auras mis,aura mis,aurons mis,aurez mis,auront mis,aurais mis,aurais mis,aurait mis,aurions mis,auriez mis,auraient mis,aie mis,aies mis,ait mis,ayons mis,ayez mis,aient mis,eusse mis,eusses mis,eût mis,eussions mis,eussiez mis,eussent mis,eus mis,eus mis,eut mis,eûmes mis,eûtes mis,eurent mis,aie mis,ayons mis,ayez mis,mettant
montrer,to show,False,montre,montres,montre,montrons,montrez,montrent,montrais,montrais,montrait,montrions,montriez,montraient,montrai,montras,montra,montrâmes,montrâtes,montrèrent,montrerai,montreras,montrera,montrerons,montrerez,montreront,montrerais,montrerais,montrerait,montrerions,montreriez,montreraient,montre,montres,montre,montrions,montriez,montrent,montrasse,montrasses,montrât,montrassions,montrassiez,montrassent,montre,montrons,montrez,ai montré,as montré,a montré,avons montré,avez montré,ont montré,avais montré,avais montré,avait montré,avions montré,aviez montré,avaient montré,aurai montré,auras montré,aura montré,aurons montré,aurez montré,auront montré,aurais montré,aurais montré,aurait montré,aurions montré,auriez montré,auraient montré,aie montré,aies montré,ait montré,ayons montré,ayez montré,aient montré,eusse montré,eusses montré,eût montré,eussions montré,eussiez montré,eussent montré,eus montré,eus montré,eut montré,eûmes montré,eûtes montré,eurent montré,aie montré,ayons montré,ayez montré,montrant
nouer,"to tie, knot",False,noue,noues,noue,nouons,nouez,nouent,nouais,nouais,nouait,nouions,nouiez,nouaient,nouai,nouas,noua,nouâmes,nouâtes,nouèrent,nouerai,noueras,nouera,nouerons,nouerez,noueront,nouerais,nouerais,nouerait,nouerions,noueriez,noueraient,noue,noues,noue,nouions,nouiez,nouent,nouasse,nouasses,nouât,nouassions,nouassiez,nouassent,noue,nouons,nouez,ai noué,as noué,a noué,avons noué,avez noué,ont noué,avais noué,avais noué,avait noué,avions noué,aviez noué,avaient noué,aurai noué,auras noué,aura noué,aurons noué,aurez noué,auront noué,aurais noué,aurais noué,aurait noué,aurions noué,auriez noué,auraient noué,aie noué,aies noué,ait noué,ayons noué,ayez noué,aient noué,eusse noué,eusses noué,eût noué,eussions noué,eussiez noué,eussent noué,eus noué,eus noué,eut noué,eûmes noué,eûtes noué,eurent noué,aie noué,ayons noué,ayez noué,nouant
noter,to write down,False,note,notes,note,notons,notez,notent,notais,notais,notait,notions,notiez,notaient,notai,notas,nota,notâmes,notâtes,notèrent,noterai,noteras,notera,noterons,noterez,noteront,noterais,noterais,noterait,noterions,noteriez,noteraient,note,notes,note,notions,notiez,notent,notasse,notasses,notât,notassions,notassiez,notassent,note,notons,notez,ai noté,as noté,a noté,avons noté,avez noté,ont noté,avais noté,avais noté,avait noté,avions noté,aviez noté,avaient noté,aurai noté,auras noté,aura noté,aurons noté,aurez noté,auront noté,aurais noté,aurais noté,aurait noté,aurions noté,auriez noté,auraient noté,aie noté,aies noté,ait noté,ayons noté,ayez noté,aient noté,eusse noté,eusses noté,eût noté,eussions noté,eussiez noté,eussent noté,eus noté,eus noté,eut noté,eûmes noté,eûtes noté,eurent noté,aie noté,ayons noté,ayez noté,notant
nager,to swim,False,nage,nages,nage,nageons,nagez,nagent,nageais,nageais,nageait,nagions,nagiez,nageaient,nageai,nageas,nagea,nageâmes,nageâtes,nagèrent,nagerai,nageras,nagera,nagerons,nagerez,nageront,nagerais,nagerais,nagerait,nagerions,nageriez,nageraient,nage,nages,nage,nagions,nagiez,nagent,nageasse,nageasses,nageât,nageassions,nageassiez,nageassent,nage,nageons,nagez,ai nagé,as nagé,a nagé,avons nagé,avez nagé,ont nagé,avais nagé,avais nagé,avait nagé,avions nagé,aviez nagé,avaient nagé,aurai nagé,auras nagé,aura nagé,aurons nagé,aurez nagé,auront nagé,aurais nagé,aurais nagé,aurait nagé,aurions nagé,auriez nagé,auraient nagé,aie nagé,aies nagé,ait nagé,ayons nagé,ayez nagé,aient nagé,eusse nagé,eusses nagé,eût nagé,eussions nagé,eussiez nagé,eussent nagé,eus nagé,eus nagé,eut nagé,eûmes nagé,eûtes nagé,eurent nagé,aie nagé,ayons nagé,ayez nagé,nageant
mordre,to bite,True,mords,mords,mord,mordons,mordez,mordent,mordais,mordais,mordait,mordions,mordiez,mordaient,mordis,mordis,mordit,mordîmes,mordîtes,mordirent,mordrai,mordras,mordra,mordrons,mordrez,mordront,mordrais,mordrais,mordrait,mordrions,mordriez,mordraient,morde,mordes,morde,mordions,mordiez,mordent,mordisse,mordisses,mordît,mordissions,mordissiez,mordissent,mords,mordons,mordez,ai mordu,as mordu,a mordu,avons mordu,avez mordu,ont mordu,avais mordu,avais mordu,avait mordu,avions mordu,aviez mordu,avaient mordu,aurai mordu,auras mordu,aura mordu,aurons mordu,aurez mordu,auront mordu,aurais mordu,aurais mordu,aurait mordu,aurions mordu,auriez mordu,auraient mordu,aie mordu,aies mordu,ait mordu,ayons mordu,ayez mordu,aient mordu,eusse mordu,eusses mordu,eût mordu,eussions mordu,eussiez mordu,eussent mordu,eus mordu,eus mordu,eut mordu,eûmes mordu,eûtes mordu,eurent mordu,aie mordu,ayons mordu,ayez mordu,mordant
noyer,to drown,False,noie,noies,noie,noyons,noyez,noient,noyais,noyais,noyait,noyions,noyiez,noyaient,noyai,noyas,noya,noyâmes,noyâtes,noyèrent,noierai,noieras,noiera,noierons,noierez,noieront,noierais,noierais,noierait,noierions,noieriez,noieraient,noie,noies,noie,noyions,noyiez,noient,noyasse,noyasses,noyât,noyassions,noyassiez,noyassent,noie,noyons,noyez,ai noyé,as noyé,a noyé,avons noyé,avez noyé,ont noyé,avais noyé,avais noyé,avait noyé,avions noyé,aviez noyé,avaient noyé,aurai noyé,auras noyé,aura noyé,aurons noyé,aurez noyé,auront noyé,aurais noyé,aurais noyé,aurait noyé,aurions noyé,auriez noyé,auraient noyé,aie noyé,aies noyé,ait noyé,ayons noyé,ayez noyé,aient noyé,eusse noyé,eusses noyé,eût noyé,eussions noyé,eussiez noyé,eussent noyé,eus noyé,eus noyé,eut noyé,eûmes noyé,eûtes noyé,eurent noyé,aie noyé,ayons noyé,ayez noyé,noyant
