infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
jurar,to swear,juro,juras,jura,juramos,juráis,juran,juraré,jurarás,jurará,juraremos,juraréis,jurarán,juraba,jurabas,juraba,jurábamos,jurabais,juraban,juré,juraste,juró,juramos,jurasteis,juraron,juraría,jurarías,juraría,juraríamos,juraríais,jurarían,he jurado,has jurado,ha jurado,hemos jurado,habéis jurado,han jurado,habré jurado,habrás jurado,habrá jurado,habremos jurado,habréis jurado,habrán jurado,había jurado,habías jurado,había jurado,habíamos jurado,habíais jurado,habían jurado,hube jurado,hubiste jurado,hubo jurado,hubimos jurado,hubisteis jurado,hubieron jurado,habría jurado,habrías jurado,habría jurado,habríamos jurado,habríais jurado,habrían jurado,jure,jures,jure,juremos,juréis,juren,jurara,juraras,jurara,juráramos,jurarais,juraran,jurare,jurares,jurare,juráremos,jurareis,juraren,haya jurado,hayas jurado,haya jurado,hayamos jurado,hayáis jurado,hayan jurado,hubiere jurado,hubieres jurado,hubiere jurado,hubiéremos jurado,hubiereis jurado,hubieren jurado,hubiera jurado,hubieras jurado,hubiera jurado,hubiéramos jurado,hubierais jurado,hubieran jurado,N/A,jura,jurad,N/A,jure,juren,N/A,no jures,no juréis,N/A,no jure,no juren
ladrar,to bark,ladro,ladras,ladra,ladramos,ladráis,ladran,ladraré,ladrarás,ladrará,ladraremos,ladraréis,ladrarán,ladraba,ladrabas,ladraba,ladrábamos,ladrabais,ladraban,ladré,ladraste,ladró,ladramos,ladrasteis,ladraron,ladraría,ladrarías,ladraría,ladraríamos,ladraríais,ladrarían,he ladrado,has ladrado,ha ladrado,hemos ladrado,habéis ladrado,han ladrado,habré ladrado,habrás ladrado,habrá ladrado,habremos ladrado,habréis ladrado,habrán ladrado,había ladrado,habías ladrado,había ladrado,habíamos ladrado,habíais ladrado,habían ladrado,hube ladrado,hubiste ladrado,hubo ladrado,hubimos ladrado,hubisteis ladrado,hubieron ladrado,habría ladrado,habrías ladrado,habría ladrado,habríamos ladrado,habríais ladrado,habrían ladrado,ladre,ladres,ladre,ladremos,ladréis,ladren,ladrara,ladraras,ladrara,ladráramos,ladrarais,ladraran,ladrare,ladrares,ladrare,ladráremos,ladrareis,ladraren,haya ladrado,hayas ladrado,haya ladrado,hayamos ladrado,hayáis ladrado,hayan ladrado,hubiere ladrado,hubieres ladrado,hubiere ladrado,hubiéremos ladrado,hubiereis ladrado,hubieren ladrado,hubiera ladrado,hubieras ladrado,hubiera ladrado,hubiéramos ladrado,hubierais ladrado,hubieran ladrado,N/A,ladra,ladrad,N/A,ladre,ladren,N/A,no ladres,no ladréis,N/A,no ladre,no ladren
lamentar,to lament/regret/feel sorry about,lamento,lamentas,lamenta,lamentamos,lamentáis,lamentan,lamentaré,lamentarás,lamentará,lamentaremos,lamentaréis,lamentarán,lamentaba,lamentabas,lamentaba,lamentábamos,lamentabais,lamentaban,lamenté,lamentaste,lamentó,lamentamos,lamentasteis,lamentaron,lamentaría,lamentarías,lamentaría,lamentaríamos,lamentaríais,lamentarían,he lamentado,has lamentado,ha lamentado,hemos lamentado,habéis lamentado,han lamentado,habré lamentado,habrás lamentado,habrá lamentado,habremos lamentado,habréis lamentado,habrán lamentado,lavaría,lavarías,lavaría,lavaríamos,lavaríais,lavarían,había lamentado,habías lamentado,había lamentado,habíamos lamentado,habíais lamentado,habían lamentado,hube lamentado,hubiste lamentado,hubo lamentado,hubimos lamentado,hubisteis lamentado,hubieron lamentado,habría lamentado,habrías lamentado,habría lamentado,habríamos lamentado,habríais lamentado,habrían lamentado,lamente,lamentes,lamente,lamentemos,lamentéis,lamenten,lamentara,lamentaras,lamentara,lamentáramos,lamentarais,lamentaran,lamentare,lamentares,lamentare,lamentáremos,lamentareis,lamentaren,haya lamentado,hayas lamentado,haya lamentado,hayamos lamentado,hayáis lamentado,hayan lamentado,hubiere lamentado,hubieres lamentado,hubiere lamentado,hubiéremos lamentado,hubiereis lamentado,hubieren lamentado,hubiera lamentado,hubieras lamentado,hubiera lamentado,hubiéramos lamentado,hubierais lamentado,hubieran lamentado,N/A,lamenta,lamentad,N/A,lamente,lamenten
lavar,to wash,lavaría,lavarías,lavaría,lavaríamos,lavaríais,lavarían,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán,lanzaba,lanzabas,lanzaba,lanzábamos,lanzabais,lanzaban,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron,lanzaría,lanzarías,lanzaría,lanzaríamos,lanzaríais,lanzarían,he lanzado,has lanzado,ha lanzado,hemos lanzado,habéis lanzado,han lanzado,habré lanzado,habrás lanzado,habrá lanzado,habremos lanzado,habréis lanzado,habrán lanzado,había lanzado,habías lanzado,había lanzado,habíamos lanzado,habíais lanzado,habían lanzado,hube lanzado,hubiste lanzado,hubo lanzado,hubimos lanzado,hubisteis lanzado,hubieron lanzado,habría lanzado,habrías lanzado,habría lanzado,habríamos lanzado,habríais lanzado,habrían lanzado,lance,lances,lance,lancemos,lancéis,lancen,lanzara,lanzaras,lanzara,lanzáramos,lanzarais,lanzaran,lanzare,lanzares,lanzare,lanzáremos,lanzareis,lanzaren,haya lanzado,hayas lanzado,haya lanzado,hayamos lanzado,hayáis lanzado,hayan lanzado,hubiere lanzado,hubieres lanzado,hubiere lanzado,hubiéremos lanzado,hubiereis lanzado,hubieren lanzado,hubiera lanzado,hubieras lanzado,hubiera lanzado,hubiéramos lanzado,hubierais lanzado,hubieran lanzado,N/A,lanza,lanzad,N/A,lance,lancen
lanzar,to throw/hurl/cast/fling,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lastimo,lastimas,lastima,lastimamos,lastimáis,lastiman,lastimaré,lastimarás,lastimará,lastimaremos,lastimaréis,lastimarán,lastimaba,lastimabas,lastimaba,lastimábamos,lastimabais,lastimaban,lastimé,lastimaste,lastimó,lastimamos,lastimasteis,lastimaron,lastimaría,lastimarías,lastimaría,lastimaríamos,lastimaríais,lastimarían,he lastimado,has lastimado,ha lastimado,hemos lastimado,habéis lastimado,han lastimado,habré lastimado,habrás lastimado,habrá lastimado,habremos lastimado,habréis lastimado,habrán lastimado,había lastimado,habías lastimado,había lastimado,habíamos lastimado,habíais lastimado,habían lastimado,hube lastimado,hubiste lastimado,hubo lastimado,hubimos lastimado,hubisteis lastimado,hubieron lastimado,habría lastimado,habrías lastimado,habría lastimado,habríamos lastimado,habríais lastimado,habrían lastimado,lastime,lastimes,lastime,lastimemos,lastiméis,lastimen,lastimara,lastimaras,lastimara,lastimáramos,lastimarais,lastimaran,lastimare,lastimares,lastimare,lastimáremos,lastimareis,lastimaren,haya lastimado,hayas lastimado,haya lastimado,hayamos lastimado,hayáis lastimado,hayan lastimado,hubiere lastimado,hubieres lastimado,hubiere lastimado,hubiéremos lastimado,hubiereis lastimado,hubieren lastimado,hubiera lastimado,hubieras lastimado,hubiera lastimado,hubiéramos lastimado,hubierais lastimado,hubieran lastimado,N/A,lastima,lastimad,N/A,lastime,lastimen
lastimar,to hurt/injure/harm,lastimo,lastimas,lastima,lastimamos,lastimáis,lastiman,lavo,lavas,lava,lavamos,laváis,lavan,lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán,lavaba,lavabas,lavaba,lavábamos,lavabais,lavaban,lavé,lavaste,lavó,lavamos,lavasteis,lavaron,he lavado,has lavado,ha lavado,hemos lavado,habéis lavado,han lavado,habré lavado,habrás lavado,habrá lavado,habremos lavado,habréis lavado,habrán lavado,había lavado,habías lavado,había lavado,habíamos lavado,habíais lavado,habían lavado,hube lavado,hubiste lavado,hubo lavado,hubimos lavado,hubisteis lavado,hubieron lavado,habría lavado,habrías lavado,habría lavado,habríamos lavado,habríais lavado,habrían lavado,lave,laves,lave,lavemos,lavéis,laven,lavara,lavaras,lavara,laváramos,lavarais,lavaran,lavare,lavares,lavare,laváremos,lavareis,lavaren,haya lavado,hayas lavado,haya lavado,hayamos lavado,hayáis lavado,hayan lavado,hubiere lavado,hubieres lavado,hubiere lavado,hubiéremos lavado,hubiereis lavado,hubieren lavado,hubiera lavado,hubieras lavado,hubiera lavado,hubiéramos lavado,hubierais lavado,hubieran lavado,N/A,lava,lavad,N/A,lave,laven,N/A,no laves,no lavéis,N/A,no lave,no laven
lavarse,to wash OR to wash up,me lavo,te lavas,se lava,nos lavamos,os laváis,se lavan,me lavaré,te lavarás,se lavará,nos lavaremos,os lavaréis,se lavarán,me lavaba,te lavabas,se lavaba,nos lavábamos,os lavabais,se lavaban,me lavé,te lavaste,se lavó,nos lavamos,lavasteis,se lavaron,me lavaría,te lavarías,se lavaría,nos lavaríamos,os lavaríais,se lavarían,me he lavado,te has lavado,se ha lavado,nos hemos lavado,os habéis lavado,se han lavado,me habré lavado,te habrás lavado,se habrá lavado,nos habremos lavado,os habréis lavado,se habrán lavado,me había lavado,te habías lavado,se había lavado,nos habíamos lavado,os habíais lavado,se habían lavado,me hube lavado,te hubiste lavado,se hubo lavado,nos hubimos lavado,os hubisteis lavado,se hubieron lavado,me habría lavado,te habrías lavado,se habría lavado,nos habríamos lavado,os habríais lavado,se habrían lavado,me lave,te laves,se lave,nos lavemos,os lavéis,se laven,me lavara,te lavaras,se lavara,nos laváramos,os lavarais,se lavaran,me lavare,te lavares,se lavare,nos laváremos,os lavareis,se lavaren,me haya lavado,te hayas lavado,se haya lavado,nos hayamos lavado,os hayáis lavado,se hayan lavado,me hubiere lavado,te hubieres lavado,se hubiere lavado,nos hubiéremos lavado,os hubiereis lavado,se hubieren lavado,me hubiera lavado,te hubieras lavado,se hubiera lavado,nos hubiéramos lavado,os hubierais lavado,se hubieran lavado,N/A,lávate,lavaos,N/A,lávese,lávense,N/A,no te laves,no os lavéis,N/A,no se lave,no se laven
leer,to read,leo,lees,lee,leemos,leéis,leen,leeré,leerás,leerá,leeremos,leeréis,leerán,leía,leías,leía,leíamos,leíais,leían,leí,leíste,leyó,leímos,leísteis,leyeron,leería,leerías,leería,leeríamos,leeríais,leerían,he leído,has leído,ha leído,hemos leído,habéis leído,han leído,habré leído,habrás leído,habrá leído,habremos leído,habréis leído,habrán leído,había leído,habías leído,había leído,habíamos leído,habíais leído,habían leído,hube leído,hubiste leído,hubo leído,hubimos leído,hubisteis leído,hubieron leído,habría leído,habrías leído,habría leído,habríamos leído,habríais leído,habrían leído,lea,leas,lea,leamos,leáis,lean,leyera,leyeras,leyera,leyéramos,leyerais,leyeran,leyere,leyeres,leyere,leyéremos,leyereis,leyeren,haya leído,hayas leído,haya leído,hayamos leído,hayáis leído,hayan leído,hubiere leído,hubieres leído,hubiere leído,hubiéremos leído,hubiereis leído,hubieren leído,hubiera leído,hubieras leído,hubiera leído,hubiéramos leído,hubierais leído,hubieran leído,N/A,lee,leed,N/A,lea,lean,N/A,no leas,no leáis,N/A,no lea,no lean
legalizar,to legalize/make lawful,legalizo,legalizas,legaliza,legalizamos,legalizáis,legalizan,legalizaré,legalizarás,legalizará,legalizaremos,legalizaréis,legalizarán,legalizaba,legalizabas,legalizaba,legalizábamos,legalizabais,legalizaban,legalicé,legalizaste,legalizó,legalizamos,legalizasteis,legalizaron,legalizaría,legalizarías,legalizaría,legalizaríamos,legalizaríais,legalizarían,he legalizado,has legalizado,ha legalizado,hemos legalizado,habéis legalizado,han legalizado,habré legalizado,habrás legalizado,habrá legalizado,habremos legalizado,habréis legalizado,habrán legalizado,había legalizado,habías legalizado,había legalizado,habíamos legalizado,habíais legalizado,habían legalizado,hube legalizado,hubiste legalizado,hubo legalizado,hubimos legalizado,hubisteis legalizado,hubieron legalizado,habría legalizado,habrías legalizado,habría legalizado,habríamos legalizado,habríais legalizado,habrían legalizado,legalice,legalices,legalice,legalicemos,legalicéis,legalicen,legalizara,legalizaras,legalizara,legalizáramos,legalizarais,legalizaran,legalizare,legalizares,legalizare,legalizáremos,legalizareis,legalizaren,haya legalizado,hayas legalizado,haya legalizado,hayamos legalizado,hayáis legalizado,hayan legalizado,hubiere legalizado,hubieres legalizado,hubiere legalizado,hubiéremos legalizado,hubiereis legalizado,hubieren legalizado,hubiera legalizado,hubieras legalizado,hubiera legalizado,hubiéramos legalizado,hubierais legalizado,hubieran legalizado,N/A,legaliza,legalizad,N/A,legalice,legalicen,N/A,no legalices,no legalicéis,N/A,no legalice,no legalicen
levantar,to raise OR to lift,levanto,levantas,levanta,levantamos,levantáis,levantan,levantaré,levantarás,levantará,levantaremos,levantaréis,levantarán,levantaba,levantabas,levantaba,levantábamos,levantabais,levantaban,levanté,levantaste,levantó,levantamos,levantasteis,levantaron,levantaría,levantarías,levantaría,levantaríamos,levantaríais,levantarían,he levantado,has levantado,ha levantado,hemos levantado,habéis levantado,han levantado,habré levantado,habrás levantado,habrá levantado,habremos levantado,habréis levantado,habrán levantado,había levantado,habías levantado,había levantado,habíamos levantado,habíais levantado,habían levantado,hube levantado,hubiste levantado,hubo levantado,hubimos levantado,hubisteis levantado,hubieron levantado,habría levantado,habrías levantado,habría levantado,habríamos levantado,habríais levantado,habrían levantado,levante,levantes,levante,levantemos,levantéis,levanten,levantara,levantaras,levantara,levantáramos,levantarais,levantaran,levantare,levantares,levantare,levantáremos,levantareis,levantaren,haya levantado,hayas levantado,haya levantado,hayamos levantado,hayáis levantado,hayan levantado,hubiere levantado,hubieres levantado,hubiere levantado,hubiéremos levantado,hubiereis levantado,hubieren levantado,hubiera levantado,hubieras levantado,hubiera levantado,hubiéramos levantado,hubierais levantado,hubieran levantado,N/A,levanta,levantad,N/A,levante,levanten,N/A,no levantes,no levantéis,N/A,no levante,no levanten
levantarse,to get up,me levanto,te levantas,se levanta,nos levantamos,os levantáis,se levantan,me levantaré,te levantarás,se levantará,nos levantaremos,os levantaréis,se levantarán,me levantaba,te levantabas,se levantaba,nos levantábamos,os levantabais,se levantaban,me levanté,te levantaste,se levantó,nos levantamos,levantasteis,se levantaron,me levantaría,te levantarías,se levantaría,nos levantaríamos,os levantaríais,se levantarían,me he levantado,te has levantado,se ha levantado,nos hemos levantado,os habéis levantado,se han levantado,me habré levantado,te habrás levantado,se habrá levantado,nos habremos levantado,os habréis levantado,se habrán levantado,me había levantado,te habías levantado,se había levantado,nos habíamos levantado,os habíais levantado,se habían levantado,me hube levantado,te hubiste levantado,se hubo levantado,nos hubimos levantado,os hubisteis levantado,se hubieron levantado,me habría levantado,te habrías levantado,se habría levantado,nos habríamos levantado,os habríais levantado,se habrían levantado,me levante,te levantes,se levante,nos levantemos,os levantéis,se levanten,me levantara,te levantaras,se levantara,nos levantáramos,os levantarais,se levantaran,me levantare,te levantares,se levantare,nos levantáremos,os levantareis,se levantaren,me haya levantado,te hayas levantado,se haya levantado,nos hayamos levantado,os hayáis levantado,se hayan levantado,me hubiere levantado,te hubieres levantado,se hubiere levantado,nos hubiéremos levantado,os hubiereis levantado,se hubieren levantado,me hubiera levantado,te hubieras levantado,se hubiera levantado,nos hubiéramos levantado,os hubierais levantado,se hubieran levantado,N/A,levántate,levantaos,N/A,levántese,levántense,N/A,no te levantes,no os levantéis,N/A,no se levante,no se levanten
limpiar,to clean,limpio,limpias,limpia,limpiamos,limpiáis,limpian,limpiaré,limpiarás,limpiará,limpiaremos,limpiaréis,limpiarán,limpiaba,limpiabas,limpiaba,limpiábamos,limpiabais,limpiaban,limpié,limpiaste,limpió,limpiamos,limpiasteis,limpiaron,limpiaría,limpiarías,limpiaría,limpiaríamos,limpiaríais,limpiarían,he limpiado,has limpiado,ha limpiado,hemos limpiado,habéis limpiado,han limpiado,habré limpiado,habrás limpiado,habrá limpiado,habremos limpiado,habréis limpiado,habrán limpiado,había limpiado,habías limpiado,había limpiado,habíamos limpiado,habíais limpiado,habían limpiado,hube limpiado,hubiste limpiado,hubo limpiado,hubimos limpiado,hubisteis limpiado,hubieron limpiado,habría limpiado,habrías limpiado,habría limpiado,habríamos limpiado,habríais limpiado,habrían limpiado,limpie,limpies,limpie,limpiemos,limpiéis,limpien,limpiara,limpiaras,limpiara,limpiáramos,limpiarais,limpiaran,limpiare,limpiares,limpiare,limpiáremos,limpiareis,limpiaren,haya limpiado,hayas limpiado,haya limpiado,hayamos limpiado,hayáis limpiado,hayan limpiado,hubiere limpiado,hubieres limpiado,hubiere limpiado,hubiéremos limpiado,hubiereis limpiado,hubieren limpiado,hubiera limpiado,hubieras limpiado,hubiera limpiado,hubiéramos limpiado,hubierais limpiado,hubieran limpiado,N/A,limpia,limpiad,N/A,limpie,limpien,N/A,no limpies,no limpiéis,N/A,no limpie,no limpien
